time,cpu,memory
2023-05-14 13:22:19,537724,46776
2023-05-14 13:22:29,3765014,46888
2023-05-14 13:22:40,3765014,46888
2023-05-14 13:22:50,3765014,46888
2023-05-14 13:23:00,30250479,47004
2023-05-14 13:23:10,104546088,48416
2023-05-14 13:23:21,104546088,48416
2023-05-14 13:23:31,44799590,48452
2023-05-14 13:23:41,34329093,48528
2023-05-14 13:23:51,34329093,48528
2023-05-14 13:24:01,24657355,48540
2023-05-14 13:24:11,8247781,48544
